"id","price.avg","brand","colors","imageURLs"
"AVpfQW1K1cnluZ0-hNQU",549,"Christian Louboutin","Black","http://i.ebayimg.com/images/g/MxMAAOSwYmZXOMy~/s-l300.jpg,http://i.ebayimg.com/images/g/MxMAAOSwYmZXOMy~/s-l64.jpg,http://i.ebayimg.com/images/g/muEAAOSw8vZXOMzA/s-l64.jpg,http://i.ebayimg.com/images/g/Op4AAOSwubRXOMzC/s-l64.jpg,http://i.ebayimg.com/images/g/AngAAOSw~oFXOMzD/s-l64.jpg,http://i.ebayimg.com/images/g/qJsAAOSwxfNXOMzF/s-l64.jpg,http://i.ebayimg.com/images/g/1lsAAOSwr0ZXOMzJ/s-l64.jpg,http://i.ebayimg.com/images/g/Bs4AAOSwSgJXOMzL/s-l64.jpg,http://i.ebayimg.com/00/$(KGrHqRHJEkE-jkqyyccBPwmUODFUg~~_10.JPG"
"AVpf3nz1LJeJML43FMVw",545,"Tod's","",""
"AVpe-v8xLJeJML43zt9d",529,"Cesare Paciotti","Blue","http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477115?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FJo8nEq8c20r4tk7rjaKEJetX5rEjXAcR-14.jpg&d=9913dc286f17d39018fea3bcb726f06b4917c74f,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477315?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FzITgVGgJ6eb0roUK1AgVh261cFK6LxRs-14.jpg&d=fdc646a792532d4958a2a07ba9a4109411159be8,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477415?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FflupNzH2jM4rCc9VRmKHuNYtCVLHIBX3-14.jpg&d=ca36a2a8185b7af215079222746102e8a1924253,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477215?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FSF3a0yWo1x0d4AQ44gvWPA9lfJpXbo28-14.jpg&d=86f8de5059eaafd5a7c5301074adb3a56935f20f,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477015?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FCjKSNaoZEg1FFRtU8XtpzijXKE7A2FfG-14.jpg&d=855223998a37962a0194e79e7551a8661920011b"
"AVpe8BSrLJeJML43yu4w",529,"Ralph Lauren","Taupe","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21544112_standard_v330.jpg"
"AVpfCQNJilAPnD_xThmS",529,"Cesare Paciotti","Pink","http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271615?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FfKJanJzdyaYwinNnVdnWGdIimaFgexyP-14.jpg&d=c6a2e5fb393bcd72b8e412086d22f50c644879bb,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271515?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FdXIomK0nWEcBqplc9wH2ZNm4P9cfQwLS-14.jpg&d=90fdd0bccdfdbc2029eae9eacd67703b47132011,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271815?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2F4ltKU31MT6Y5jFv1NfYnzbLZXqQUKX1n-14.jpg&d=c794e53652c1117a0aa8f94caf98219a428e658a,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271715?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FuZIWH2QQPlWL1WAOV6DNpFThF0BFEaRU-14.jpg&d=c7ea96eec5367f67b88db6211f86a5226022b1ac,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271415?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FIvOkJlVAI712r7AhYCZI7jDIcgMH1Enx-14.jpg&d=e99d7671360b1a5df6c58e992380c2a0fa7fadac"
"AVpe-QlfLJeJML43zi7k",525,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-16967926_standard_v330.jpg"
"AVpfq67tilAPnD_xgGcg",525,"Golden Goose","",""
"AVpgqqR5ilAPnD_xvsBQ",525,"rag & bone","",""
"AVpe5xbWilAPnD_xQeml",495,"Prada","",""
"AVpfnWL01cnluZ0-oCwm",495,"Aquatalia","",""
"AVpfUvfCilAPnD_xZpCu",495,"Miu Miu","",""
"AVpg-PWgilAPnD_xznmH",495,"Gucci","",""
"AVpgFLUlLJeJML43IngW",495,"Robert Clergerie","",""
"AVpglB52ilAPnD_xuaph",495,"rag & bone","",""
"AVpfl6-uilAPnD_xenXA",485,"Alexander Wang","",""
"AVpfSn0_ilAPnD_xY8-s",481,"Belle Sigerson Morrison","","https://i5.walmartimages.com/asr/7905941a-e62f-4d15-9f35-622808ec4e99_1.5cf27df2e831fe4ac66a12064c5ca15c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpgVqPuLJeJML43MjqH",480,"Golden Goose","",""
"AVpgG_qg1cnluZ0-wnCC",475,"COCLICO","",""
"AVpi_Ii6ilAPnD_xJWHS",475,"Tod's","",""
"AVpfb1Lj1cnluZ0-ktTE",465,"Dolce&Gabbana","",""
"AVpfXgh1LJeJML4379BB",465,"Opening Ceremony","",""
"AVpfRaFBLJeJML436BDO",463,"Vivienne Westwood","","https://i5.walmartimages.com/asr/bcd79fe0-176d-4f82-b2fe-2d201dabd761_1.d325e10f0a2aba7b5e321a036fc38b29.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpfMxsA1cnluZ0-gB6R",450,"Gentle Souls","Rust","http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8389747620?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fgsoliverlerust-3.jpg&d=6e05dbfbf2264e85c41fa466a5594020dc9dec0b,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8389747520?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fgsoliverlerust-2.jpg&d=6a70759f3b39c4d221cd389a622b0efde5c215b9,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8389747720?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fgsoliverlerust-1.jpg&d=07a7ad310d35c0cf19353a496d5d8b008e9b139b"
"AVpfS4R4ilAPnD_xZCXF",450,"Prada","",""
"AVpgQ9vTilAPnD_xp9qq",440,"Mephisto","Pewter,Black","http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8355877020?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fmephistotyanablack-1.jpg&d=0145a23083ddeb6f02c7049c80ae4ced7c710057,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8355876920?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fmephistotyanachestnut-3.jpg&d=1cd336f019e089c30ab501773f69f6988e12f64c,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8355876820?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fmephistotyanachestnut-2.jpg&d=59168f877581b8c40bbefaf80e5a398adf49092e"
"AVph1Bg_LJeJML43fR8i",440,"Bearpaw","White","http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8226089920?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fbpshakoiimaple-1.jpg&d=1709a2b8501b3ba75a9df6d0e44a0592147cfc25,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8226090020?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fbpshakoiiwhite-1.jpg&d=fce6188afc5122b902f66ebb00e69c7dafb8b100,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8226090320?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fbpshakoiiwhite-1.jpg&d=445f452701d2285958f849ba6d2e1159489c6593,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8226089820?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fbpshakoiiblack-1.jpg&d=6ba0fe541539d507e1a7850b5aaeeddb886b49e1"
"AVpgwtvBLJeJML43SeHn",434,"Santoni","Brown","https://i5.walmartimages.com/asr/07343946-87e7-4a39-9e39-34a6ae8c5d9a_1.8e5cfe5978b7051b410a916e8e6640e7.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpfpDK3ilAPnD_xfjRf",431,"Manolo Blahnik","Purple","https://i5.walmartimages.com/asr/d11704c9-c909-433b-9469-f24e53013381_1.f850fb13472b02d795515a2c613d9618.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpfY3N2LJeJML438Wyo",428,"Calvin Klein Jeans","",""
"AVpe_sEaLJeJML430C2v",425,"Salvatore Ferragamo","",""
"AVpfIEFP1cnluZ0-edct",425,"Robert Clergerie","",""
"AVpghxkmLJeJML43PKJ7",425,"Anyi Lu","",""
"AVpfAsL2ilAPnD_xS-AT",419,"Prada","","https://i5.walmartimages.com/asr/7f04dc9f-106d-4e89-8335-bdaf588e5d78_1.9d1764427275f9ca0d9321a9d96694e4.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpfOpa1ilAPnD_xXqyR",417,"Sebastian Milano","Brown","https://i5.walmartimages.com/asr/ee27aa37-10af-4c30-88e6-25dbc1fcd2ae_1.2e9fa720434cfdb443547c678c62675e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpfT9MNLJeJML4361VE",415,"Sebastian Milano","Green","https://i5.walmartimages.com/asr/d7c8f2a3-16b2-4542-966c-42eb14194bb7_1.063e8daf71e615f1cd071a51d8f1336c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
